北海道,43.064359,141.347449
釧路市,42.996124,144.466079
旭川市,43.770798,142.364792
北見市,43.807822,143.894379
稚内市,45.415676,141.673080
函館市,41.780565,140.727396
えりも町,42.016295,143.148346
帯広市,42.924015,143.196197
占冠村,42.979836,142.398529
中標津町,43.555191,144.971496
日高町,42.341274,142.368590
枝幸町,45.123713,142.359633
羽幌町,44.360611,141.697250
島牧村,42.700470,140.061447
興部町,44.469875,143.123703
青森県,40.824294,140.740054
八戸市,40.512280,141.488403
岩手県,39.70353,141.152667
岩泉町,39.843204,141.796677
宮城県,38.268737,140.872183
気仙沼市,38.908126,141.570038
秋田県,39.718175,140.103356
能代市,40.212132,140.026642
湯沢市,39.164074,140.494690
山形県,38.240127,140.362533
鶴岡市,38.727183,139.826721
小国町,38.061390,139.743332
福島県,37.750146,140.466754
会津若松市,37.494843,139.929703
只見町,37.348656,139.315795
郡山市,37.400455,140.359650
いわき市,37.050457,140.887679
茨城県,36.341817,140.446796
栃木県,36.56575,139.883526
群馬県,36.391205,139.060917
埼玉県,35.857771,139.647804
千葉県,35.604563,140.123179
館山市,34.996609,139.870087
勝浦市,35.152209,140.320862
銚子市,35.734669,140.826797
東京都,35.689185,139.691648
神津島村,34.205372,139.134430
三宅島,34.075779,139.479751
青ヶ島村,32.466537,139.763336
小笠原村,27.094379,142.191910
神奈川県,35.447505,139.642347
新潟県,37.901699,139.022728
富山県,36.695274,137.211302
石川県,36.594729,136.62555
福井県,36.06522,136.221641
山梨県,35.665102,138.568985
長野県,36.651282,138.180972
松本市,36.234253,137.974290
阿智村,35.445263,137.745020
岐阜県,35.39116,136.722204
高山市,36.146091,137.252213
下呂市,35.805878,137.244064
静岡県,34.976987,138.383057
下田市,34.679535,138.945312
浜松市,34.710865,137.726119
愛知県,35.180247,136.906698
三重県,34.730547,136.50861
鳥羽市,34.5094,136.8445
津市,34.7303,136.5086
尾鷲市,34.070801,136.190993
滋賀県,35.004532,135.868588
京都府,35.0209962,135.7531135
京丹後市,35.624168,135.060988
大阪府,34.686492,135.518992
兵庫県,34.69128,135.183087
朝来町,35.339836,134.853119
姫路市,34.815495,134.685455
奈良県,34.685296,135.832745
川上村,34.338120,135.954300
十津川村,33.988503,135.792618
和歌山県,34.224806,135.16795
高野町,34.216075,135.586533
田辺市,33.7288,135.3776
串本町,33.4564,135.7793
鳥取県,35.503463,134.238258
島根県,35.472248,133.05083
浜田市,34.899254,132.079879
岡山県,34.66132,133.934414
広島県,34.396033,132.459595
三次市,34.805626,132.851790
山口県,34.185648,131.470755
徳島県,34.065732,134.559293
美波町,33.7582,134.5069
剣山,33.8528,134.0983
香川県,34.34014,134.04297
愛媛県,33.841649,132.76585
伊方町,33.488594,132.354004
高知県,33.55969,133.530887
室戸市,33.289955,134.151977
土佐清水市,32.781604,132.955092
四万十市,32.991386,132.933746
福岡県,33.606767,130.418228
佐賀県,33.249367,130.298822
長崎県,32.744542,129.873037
平戸市,33.368064,129.553665
五島市,32.695541,128.840820
熊本県,32.790385,130.742345
大分県,33.2382,131.612674
中津市,33.598301,131.188232
佐伯市,32.960205,131.899505
宮崎県,31.91109,131.423855
日向市,32.422946,131.623962
高千穂町,32.7116,131.3077
鹿児島県,31.560219,130.557906
阿久根市,32.014361,130.192627
中種子町,30.532821,130.958846
奄美市,28.377274,129.493774
沖縄県,26.211538,127.681115
宮古島市,24.805490,125.281158
石垣市,24.340666,124.155540
